,,Steve,Pyra/Mythra,Joker,R.O.B.,Sonic,Roy,Kazuya,Wolf,Palutena,Fox,PAC-MAN,Pikachu,Cloud,Peach/Daisy,Mr. Game & Watch,Snake,Shulk,Min Min,Pokémon Trainer,Diddy Kong,Lucina,Wario,Samus/Dark Samus,Mario,Young Link,Zero Suit Samus,Sephiroth,Yoshi,Terry,Olimar,Greninja,Byleth,Mii Brawler,Sora,Ness,Ryu,Sheik,Falco,Mega Man,Ken,Inkling,Bayonetta,Captain Falcon,Luigi,Chrom,Corrin,Rosalina & Luma,Hero,Link,Bowser,Pichu,Wii Fit Trainer,Lucas,Toon Link,Incineroar,Ice Climbers,Marth,Meta Knight,Jigglypuff,Pit,Dark Pit,Robin,Mewtwo,Ridley,Ike,Simon/Richter,Mii Gunner,Duck Hunt,Donkey Kong,Villager,Bowser Jr.,Banjo & Kazooie,Dr. Mario,Lucario,Isabelle,Kirby,King K. Rool,Zelda,Piranha Plant,Mii Swordfighter,King Dedede,Little Mac,Ganondorf,Squirtle,Ivysaur,Charizard,Pyra,Mythra,Best Matchup,,Worst Matchup,
Byleth,,0.1,-1.3,-1.4,-0.2,-1.4,-0.3,0.1,-0.6,-0.3,-0.9,0.2,-1.8,-0.7,0.5,0.4,-0.3,-0.6,-1.9,-0.4,-1.1,-0.5,0.3,-0.9,0.0,-0.6,-1.3,-0.1,0.0,0.7,-0.3,-0.6,-,0.4,0.4,1.0,0.3,-1.4,-0.5,0.2,-0.1,-0.8,0.0,-0.5,0.7,-0.1,0.3,0.6,-0.1,0.0,0.5,-1.4,0.2,0.8,0.0,0.9,1.3,0.0,0.3,0.1,-0.2,-0.2,0.7,0.2,0.3,0.5,-0.1,0.0,-0.1,1.4,0.7,0.7,0.2,1.0,0.8,1.3,0.0,0.7,0.2,0.5,0.8,1.1,0.4,1.2,-,-,-,1.0,-1.0,,1.38,,-1.88
Mii Brawler,,-0.4,-0.4,-0.4,0.4,-0.9,-0.6,-0.4,-0.1,-0.4,0.0,-0.1,-0.7,-1.1,-0.4,0.0,-0.4,-1.0,0.1,-0.2,-0.3,-0.2,-0.3,-0.2,-0.1,-0.2,-0.2,-0.2,-0.5,-0.2,0.2,-0.6,-0.4,-,-0.2,-0.2,-0.7,0.0,0.1,-0.1,-0.6,0.5,0.4,0.1,-0.5,-0.6,0.0,0.2,0.6,-0.3,0.3,0.0,0.4,0.7,0.2,0.4,0.5,0.5,0.4,0.5,0.7,0.7,0.2,0.5,0.1,0.1,0.6,0.7,0.5,1.1,0.2,0.8,0.6,0.3,0.3,0.8,0.2,1.9,0.8,0.7,0.6,1.2,0.4,0.6,-,-,-,0.0,0.0,,1.88,,-1.10
Sora,,0.1,-1.1,-0.6,0.5,-0.2,-0.6,-0.1,-0.5,-0.3,-1.3,-0.3,-0.6,-0.9,0.4,-0.3,-0.6,-0.6,-0.9,-0.2,-1.0,0.5,0.4,-0.9,0.2,-0.6,-1.1,-0.6,0.1,0.1,-0.3,-0.9,-0.4,0.2,-,0.5,0.6,-0.8,-0.3,-0.5,0.9,0.1,-0.1,-0.2,0.5,0.1,-0.1,0.5,-0.5,-0.2,1.2,-0.5,0.4,0.5,0.0,0.6,1.2,0.6,-0.6,0.5,0.3,0.3,-0.1,-0.3,1.3,0.3,-0.4,0.3,-0.1,1.8,0.3,0.4,0.6,0.5,0.2,1.0,0.8,1.9,0.1,1.0,0.9,1.8,0.3,1.9,1.0,-1.0,0.0,0.0,-1.0,,1.87,,-1.25
Ness,,-0.9,-1.2,-0.6,-0.6,-0.4,-0.7,0.1,-0.3,-1.4,0.5,-0.7,0.8,-1.1,-0.3,-1.7,0.2,-1.3,-0.9,-0.4,-0.4,-1.7,-0.1,0.1,-0.2,0.0,-1.1,-1.3,-0.2,0.2,-0.2,-0.6,-1.0,0.2,-0.5,-,0.5,0.1,0.3,-0.1,0.7,0.2,-0.3,0.7,0.6,-0.9,-1.3,-0.4,-0.4,-0.3,0.6,0.7,0.8,-0.4,0.3,1.1,0.0,-1.0,-0.1,0.8,0.0,0.0,-0.2,-0.1,0.9,-0.7,-0.1,-0.3,0.1,1.3,-0.3,0.4,0.4,0.4,1.7,0.2,0.8,1.1,-0.6,0.8,0.1,0.8,1.5,1.7,0.0,-1.0,0.0,-,-,,1.72,,-1.72
Ryu,,-1.2,-0.9,-0.6,-0.4,-0.5,-0.2,-0.4,-0.1,-0.7,0.3,-0.8,-0.8,-0.5,-0.5,-0.9,0.4,-0.2,-0.4,-0.2,-0.4,-0.7,-0.3,-0.9,-0.4,0.0,-0.9,-0.8,-0.1,-0.2,0.8,-0.1,-0.3,0.7,-0.6,-0.5,-,-0.5,-0.5,-0.3,0.1,-0.3,-0.6,0.1,-0.3,-0.1,0.1,-1.0,-0.1,-0.4,0.1,0.1,-0.1,-0.2,-0.1,0.8,0.5,0.2,0.5,0.2,-0.3,-0.3,-0.1,0.3,0.3,0.5,-0.7,-0.7,-0.2,0.8,-0.6,0.6,0.3,0.9,0.8,0.1,0.4,0.4,0.0,0.7,-0.3,0.0,0.8,0.4,-,-,-,-,-,,0.87,,-1.22
Sheik,,-1.4,-0.2,0.3,1.0,-0.5,0.4,0.5,0.1,-0.1,-0.8,-1.4,-1.4,1.0,0.6,-0.7,0.2,-0.2,2.0,-0.4,0.0,1.0,-0.3,0.6,-0.5,-0.9,0.6,1.4,-0.9,-0.2,-1.2,0.0,1.4,0.0,0.8,-0.1,0.5,-,0.3,0.0,-0.1,0.0,0.0,0.8,0.2,1.4,1.6,-0.9,0.7,0.3,0.2,-0.7,0.6,1.3,0.7,0.7,-0.5,1.3,0.9,0.8,0.8,0.8,1.3,1.0,1.1,1.5,1.9,0.3,0.6,1.4,0.6,1.4,0.5,0.9,0.1,0.9,0.4,1.9,1.5,0.6,1.1,1.2,0.8,1.8,0.3,1.3,-0.3,1.0,0.0,,1.95,,-1.43
Falco,,0.2,-1.1,-1.4,0.4,-1.0,-0.9,-0.5,-0.4,-0.2,0.0,0.8,-1.5,-0.7,-0.2,-1.4,0.1,-1.3,0.2,-0.8,-1.1,-0.8,-0.4,1.1,-0.6,-0.2,-0.6,-0.9,-0.2,-0.2,-1.3,-1.4,0.5,-0.1,0.3,-0.3,0.5,-0.3,-,0.9,0.2,-1.0,0.3,0.1,-0.8,-0.9,-0.1,-0.1,0.6,0.4,1.1,-1.5,1.6,0.5,0.5,0.7,-1.6,-0.2,0.0,0.7,0.2,0.2,0.9,1.3,0.6,0.2,1.4,0.6,1.0,1.9,1.4,0.8,1.5,0.6,1.2,1.5,-0.4,1.8,1.3,1.0,1.6,1.7,0.5,1.6,-1.3,0.5,1.0,-0.5,0.0,,1.94,,-1.55
Mega Man,,-0.4,-0.6,0.5,0.7,-0.1,-0.9,-0.5,-1.1,-0.7,-0.7,-0.2,-1.3,-0.4,-0.3,-0.3,1.4,-0.2,-1.7,1.0,0.6,0.1,-0.3,-0.4,-0.6,-0.3,-1.3,0.0,-0.3,-0.2,-0.5,-0.5,-0.2,0.1,0.5,0.1,0.3,0.0,-0.9,-,-0.1,0.4,0.0,0.1,0.9,0.1,0.1,0.4,-0.9,-0.3,1.0,-0.7,1.3,1.4,0.4,1.3,1.8,0.8,0.3,0.4,-0.2,0.0,0.9,0.1,1.5,0.3,0.9,0.6,1.9,1.8,0.5,1.4,0.4,0.9,-0.4,1.4,0.8,1.6,0.9,1.6,1.0,1.4,1.2,1.7,-,-,-,-,-,,1.92,,-1.66
Ken,,-1.1,-1.0,-0.1,0.0,-1.5,-0.7,-0.3,0.7,-0.2,0.4,-0.7,-1.0,-0.9,-0.3,-1.4,-0.7,-0.9,-0.1,-0.2,-0.9,-1.0,-0.1,-0.6,-0.3,-0.1,-0.5,-0.5,-0.4,0.4,0.7,-0.2,0.1,0.6,-0.9,-0.7,-0.1,0.1,-0.2,0.1,-,-0.4,-0.2,0.7,-0.8,-0.2,0.6,-1.3,0.4,-0.5,0.7,-0.4,0.1,-0.2,-0.1,0.8,-0.7,-0.1,0.8,0.6,-0.1,-0.1,0.0,0.5,-0.3,0.9,-0.3,0.4,-0.5,1.4,-0.7,-0.1,0.3,0.7,1.3,0.2,-0.9,1.2,0.1,0.1,0.4,0.8,-0.2,1.0,-,-,-,-,-,,1.37,,-1.45
Inkling,,-1.3,-0.4,1.0,-1.1,-0.3,0.2,0.1,0.0,0.3,-0.9,-1.1,-0.5,0.6,-0.9,-1.0,0.9,-1.4,0.2,-0.8,-0.5,1.1,-0.8,-0.6,-0.6,-0.3,0.6,0.4,-1.3,0.4,-1.6,-0.2,0.8,-0.5,-0.1,-0.2,0.3,0.0,1.0,-0.4,0.4,-,0.2,0.9,0.1,0.8,0.3,-0.9,0.7,0.3,0.2,0.6,0.6,-0.1,-0.4,0.8,-0.5,0.7,0.1,-0.2,0.5,0.5,0.6,1.0,1.3,0.4,1.6,-0.6,0.2,1.3,-0.1,0.4,0.3,0.6,0.0,0.5,1.4,0.9,0.5,0.7,1.0,0.4,1.0,1.8,-,-,-,0.0,0.0,,1.75,,-1.63
Bayonetta,,-0.2,-1.6,-0.9,1.2,-1.5,-0.1,0.4,-1.1,-0.3,-1.0,-0.3,-1.1,-0.4,0.0,0.0,-0.8,-0.4,0.5,-0.2,-1.0,-0.1,0.0,1.1,0.0,-0.6,0.2,-0.3,-0.3,0.0,-0.8,0.8,0.0,-0.4,0.1,0.3,0.6,0.0,-0.3,0.0,0.2,-0.2,-,0.5,0.4,0.2,0.1,0.6,0.3,0.1,0.6,-0.8,0.7,0.3,0.3,0.1,-0.4,0.9,0.4,0.7,0.2,0.2,1.4,0.5,1.1,1.4,1.8,0.1,0.1,1.7,1.4,1.1,0.9,1.1,-0.3,1.0,1.0,1.4,1.6,-0.1,0.8,1.4,0.8,1.6,-,-,-,-,-,,1.75,,-1.58
Captain Falcon,,-0.8,-0.8,-0.9,-0.1,-0.6,-0.8,-0.5,-0.4,-0.9,-0.1,-0.4,-0.9,-0.3,-0.8,-1.3,-0.4,-0.2,0.3,-1.0,-0.8,-0.5,-1.3,0.0,-0.5,-0.4,-0.7,-0.2,-0.2,-0.2,-0.4,-0.3,0.5,-0.1,0.2,-0.7,-0.1,-0.8,-0.1,-0.1,-0.7,-0.9,-0.5,-,-0.7,0.0,0.3,-0.3,1.1,-0.1,0.5,-0.8,0.1,-0.2,0.0,0.5,-0.6,-0.5,0.2,-0.3,0.7,0.7,0.3,-0.3,0.5,1.1,0.8,0.7,0.7,1.2,0.5,0.1,0.4,0.5,0.9,0.9,-0.3,1.7,0.0,0.6,-0.1,1.1,1.0,1.6,-,-,-,-,-,,1.71,,-1.33
Luigi,,-0.6,-0.7,-1.1,-0.6,-0.8,0.3,0.1,-0.8,-0.7,1.3,-1.1,-0.1,-0.8,-0.2,-0.7,-0.9,-1.0,-0.7,-0.1,0.0,-0.6,0.3,-1.8,-0.1,-0.6,-1.7,-1.8,-0.1,0.0,-0.3,-0.6,-0.7,0.5,-0.5,-0.6,0.3,-0.2,0.8,-0.9,0.8,-0.1,-0.4,0.7,-,0.3,-0.5,-1.1,-0.6,-0.6,1.2,0.3,-0.4,-0.6,-0.1,0.5,-1.0,0.1,0.7,0.8,-0.2,-0.1,-0.5,-0.8,0.1,-0.1,-1.8,-1.3,-0.8,1.6,-0.6,0.3,0.0,0.5,0.5,0.0,1.3,1.0,-0.6,0.7,-0.4,1.2,0.9,1.4,1.0,0.0,1.0,0.5,0.5,,1.57,,-1.80
Chrom,,-0.2,-0.6,-1.5,0.2,-0.5,-0.3,0.0,-0.1,-0.4,0.1,-0.1,-1.2,-0.1,-1.0,0.1,0.1,-0.5,-1.1,-0.3,-0.8,-0.3,-0.4,-0.3,-0.1,0.7,0.7,-0.5,0.6,0.7,0.6,-0.8,0.1,0.6,-0.1,0.9,0.1,-1.4,0.9,-0.1,0.2,-0.8,-0.2,0.0,-0.3,-,0.5,1.3,0.5,0.7,0.3,-0.5,0.8,0.1,0.5,-0.2,0.8,0.1,-0.3,-0.2,0.3,0.1,0.5,0.5,0.6,0.7,0.6,0.3,1.1,0.6,0.5,0.6,0.0,0.9,1.4,1.2,1.3,0.5,0.8,0.3,1.0,0.5,1.1,0.8,-2.0,0.0,0.0,0.0,-1.0,,1.38,,-2.00
Corrin,,0.2,-1.4,-1.3,-0.2,-0.2,-1.2,-0.1,-0.9,-0.4,-1.2,-0.2,-0.9,-0.4,0.0,0.2,-1.2,-1.3,-0.3,-0.6,-1.0,-0.8,0.3,-1.1,0.6,-0.6,-1.1,-1.4,0.3,0.0,0.4,-1.0,-0.3,0.0,0.1,1.3,-0.1,-1.6,0.1,-0.1,-0.6,-0.3,-0.1,-0.3,0.5,-0.5,-,0.8,0.3,-0.1,0.3,-0.3,0.5,1.2,0.0,0.8,1.3,-0.5,-0.6,0.6,0.2,0.2,0.3,0.3,-0.3,0.4,-0.5,-0.5,0.3,0.4,0.9,0.6,0.2,0.9,0.6,1.3,1.4,0.4,0.8,0.5,0.0,0.7,0.2,1.1,-,-,-,0.0,-1.0,,1.38,,-1.58
Rosalina & Luma,,-0.6,-1.5,-1.0,0.2,-0.1,-1.2,0.0,-0.4,-1.2,-0.5,0.3,-0.3,-0.9,0.2,0.9,0.2,-0.9,-1.0,-0.5,0.0,0.2,-0.2,0.8,0.2,-0.3,-0.9,-1.5,0.1,0.4,0.4,-0.2,-0.6,-0.2,-0.5,0.4,1.0,0.9,0.1,-0.4,1.3,0.9,-0.6,0.3,1.1,-1.3,-0.8,-,-1.2,-0.4,-0.3,1.5,0.3,0.3,-0.3,1.0,0.8,0.5,-0.3,0.4,-0.3,-0.3,0.3,0.6,-0.3,0.0,-1.8,-0.5,-0.5,1.6,0.7,1.1,0.5,1.2,0.4,0.6,0.8,1.2,-0.1,0.2,-0.8,0.8,0.6,1.5,-,-,-,-,-,,1.63,,-1.83
Hero,,0.8,-1.0,-1.1,-0.9,-1.0,-1.0,0.2,-1.0,-0.6,-1.5,0.6,-0.7,-0.6,0.1,0.2,0.3,-0.3,-0.6,-0.8,-0.4,-0.4,-0.2,0.5,-0.3,0.2,-1.0,-0.3,-0.2,0.1,0.6,-1.0,0.1,-0.6,0.5,0.4,0.1,-0.7,-0.6,0.9,-0.4,-0.7,-0.3,-1.1,0.6,-0.5,-0.3,1.2,-,-0.1,-1.0,0.1,0.5,0.6,0.9,0.5,1.5,0.1,-0.5,0.2,-0.9,-0.8,0.2,0.3,-0.6,0.1,-0.2,1.1,1.2,0.0,1.7,0.8,0.9,0.6,0.8,1.4,0.8,0.6,1.1,1.0,0.9,0.9,-0.1,1.2,-,-,-,3.0,0.0,,3.00,,-1.49
Link,,-0.3,-1.4,-0.8,0.2,-0.6,-0.6,-0.1,-1.0,-0.9,-0.1,0.4,-1.1,-0.1,0.4,-0.6,-0.2,-0.3,-0.6,0.2,0.6,-1.6,-0.1,-0.1,0.0,0.8,-0.1,-0.6,0.5,0.2,0.7,-0.5,0.0,0.3,0.2,0.3,0.4,-0.3,-0.4,0.3,0.5,-0.3,-0.1,0.1,0.6,-0.7,0.1,0.4,0.1,-,0.7,0.5,1.0,0.2,0.7,0.6,1.3,-0.1,0.0,1.0,0.0,0.0,0.2,1.9,1.0,0.7,0.0,0.8,0.7,1.7,0.1,0.6,0.4,0.9,0.4,0.4,0.7,1.5,-0.6,0.6,0.8,1.4,1.4,1.6,0.0,1.0,2.5,0.0,-2.5,,2.50,,-2.50
Bowser,,-1.3,-1.0,-1.2,-0.6,-1.2,-0.4,-1.4,0.3,-1.2,0.4,0.2,-1.7,1.0,-1.2,-0.9,0.0,-0.7,-0.2,-0.6,-1.1,-0.7,-1.4,-1.0,-1.0,-1.1,-1.1,-0.4,-0.1,0.3,0.0,-1.3,-0.5,-0.3,-1.2,-0.6,-0.1,-0.2,-1.1,-1.0,-0.7,-0.2,-0.6,-0.5,-1.2,-0.3,-0.3,0.3,1.0,-0.7,-,-0.5,-0.1,-0.5,-0.5,0.5,-0.1,1.6,-0.4,-0.1,0.0,0.0,-1.3,0.8,-0.2,0.2,-0.1,-0.3,-1.2,0.7,-0.4,-0.1,0.2,0.5,1.3,0.7,0.5,0.4,0.1,-0.7,0.3,-0.5,1.2,0.1,-,-,-,-1.0,-1.0,,1.58,,-1.71
Pichu,,-0.3,0.1,0.6,-0.2,0.2,1.0,0.4,-0.1,0.3,1.1,-2.0,-0.4,0.4,-1.0,-1.7,-1.0,-1.1,0.2,0.2,0.2,-0.3,0.0,-1.4,-0.7,-0.2,0.4,0.4,-1.5,0.0,-0.9,0.2,1.4,0.0,0.5,-0.7,-0.1,0.7,1.5,0.7,0.4,-0.6,0.8,0.8,-0.3,0.5,0.3,-1.5,-0.1,-0.5,0.5,-,1.3,-1.3,-0.2,0.5,-0.8,0.5,0.6,-0.6,0.3,0.3,0.6,0.2,0.8,0.2,1.6,-0.3,0.2,1.4,0.0,1.3,0.3,-0.4,0.1,0.9,-0.9,1.3,0.1,0.8,1.3,0.7,0.8,1.6,0.0,0.3,1.0,0.7,0.5,,1.63,,-2.00
Wii Fit Trainer,,-0.6,-1.5,-0.8,-0.5,-0.6,-1.1,-0.4,-1.4,-0.5,-1.2,-0.1,-1.9,-1.0,-0.7,-1.8,-0.4,-1.6,-0.9,-1.6,-0.3,-1.2,-0.8,-0.8,-0.9,-1.0,-1.1,-1.1,-0.1,-0.2,-1.0,-1.0,-0.2,-0.4,-0.4,-0.8,0.1,-0.6,-1.6,-1.3,-0.1,-0.6,-0.7,-0.1,0.4,-0.8,-0.5,-0.3,-0.5,-1.0,0.1,-1.3,-,-0.6,0.0,0.6,0.4,-0.8,-0.8,0.5,-0.3,-0.3,-0.1,-0.4,0.3,-0.2,-0.5,-0.5,-0.5,1.1,-1.8,0.5,0.3,0.5,1.0,-0.8,-0.2,1.1,0.1,0.7,0.2,1.2,0.9,1.4,-3.0,-3.0,0.0,-2.0,-3.0,,1.44,,-3.00
Lucas,,-1.2,-0.8,-0.7,-1.0,-0.8,0.0,-0.5,-0.7,-0.4,-0.4,-0.8,0.1,-1.1,-1.1,-0.6,0.8,-1.3,-1.8,-0.9,-0.6,-0.4,-0.6,-0.8,-0.3,-0.4,-1.9,-1.5,-1.0,0.1,-0.9,-1.2,-0.8,-0.7,-0.5,0.4,0.2,-1.3,-0.5,-1.4,0.2,0.1,-0.3,0.2,0.6,-0.1,-1.2,-0.3,-0.6,-0.2,0.5,1.3,0.6,-,0.3,0.9,1.3,-0.3,-0.1,0.1,-0.3,-0.3,-0.5,0.2,1.0,-0.3,-0.7,0.5,0.1,1.3,-0.1,0.9,0.0,0.5,1.0,0.2,0.8,1.0,-0.2,0.9,0.0,0.9,1.5,1.8,1.0,-1.0,0.0,-,-,,1.81,,-1.94
Toon Link,,-0.9,-1.3,-1.2,-0.5,-1.0,-0.9,0.0,-1.3,-1.2,-1.0,-0.2,-0.6,-1.3,-0.3,-0.3,-0.4,-1.5,-0.2,0.1,0.4,-1.1,-0.4,0.0,-0.4,-0.6,-1.2,-0.9,-0.1,0.1,-0.2,-0.6,0.0,-0.2,0.0,-0.3,0.1,-0.7,-0.5,-0.4,0.1,0.4,-0.3,0.0,0.1,-0.5,0.0,0.3,-0.9,-0.7,0.5,0.2,0.0,-0.3,-,1.0,1.5,-0.3,-0.1,0.4,0.0,0.0,0.0,0.5,1.4,-0.5,-0.3,0.2,-0.1,1.3,-0.1,1.1,0.2,0.7,0.3,0.3,0.9,1.0,-0.2,0.9,0.1,1.2,1.4,1.6,-,-,-,-,-,,1.58,,-1.53
Incineroar,,-1.3,-1.2,-1.1,-1.4,-2.0,-0.5,-0.8,-0.6,-1.3,-0.6,-1.3,-1.4,-0.8,-0.9,-1.5,-0.2,-0.8,-1.6,-1.3,-1.8,-1.2,-1.2,-1.7,-0.9,-1.5,-1.5,-1.0,-0.8,-0.4,-0.2,-0.8,-0.9,-0.4,-0.6,-1.1,-0.8,-0.7,-0.7,-1.3,-0.8,-0.8,-0.1,-0.5,-0.5,0.2,-0.8,-1.0,-0.5,-0.6,-0.5,-0.5,-0.6,-0.9,-1.0,-,-1.0,-0.3,-0.6,-0.4,0.1,0.1,-0.8,-0.8,-0.5,-0.8,-1.5,-0.9,-0.9,0.0,-0.8,-0.2,-0.4,0.5,0.3,-0.7,0.1,0.0,-0.4,0.4,-0.5,0.0,0.6,0.4,-0.8,-0.3,0.2,-0.7,-0.8,,0.63,,-2.00
Ice Climbers,,-1.6,-1.7,-1.2,-0.8,-0.6,-0.1,-0.3,0.1,-0.6,1.3,-1.9,0.6,-1.1,-0.3,-0.4,-1.9,-1.3,-1.9,0.0,0.4,1.0,0.8,-0.9,1.3,-1.3,-1.8,-1.9,-0.5,-0.2,0.8,-1.9,-1.3,-0.5,-1.2,0.0,-0.5,0.5,1.6,-1.8,0.7,0.5,0.4,0.6,1.0,-0.8,-1.3,-0.8,-1.5,-1.3,0.1,0.8,-0.4,-1.3,-1.5,1.0,-,1.0,-0.3,0.6,0.1,0.1,-1.5,0.0,0.5,-0.3,-2.1,-1.5,-1.8,0.6,-1.8,-0.8,-1.5,1.1,-0.3,-1.0,0.1,-0.1,-1.8,-1.3,-1.0,-0.7,-0.6,1.3,-,-,-,-,-,,1.55,,-2.13
Marth,,-0.9,-0.9,-1.2,-0.4,-1.3,-0.5,-0.9,-0.6,-0.5,-0.3,0.0,-1.1,-0.6,0.0,-0.7,-0.5,-0.7,-1.3,-1.3,-1.0,0.0,0.4,-0.4,0.6,0.0,-1.3,-1.0,0.0,-0.1,-0.8,-1.1,0.0,-0.5,-0.6,1.0,-0.2,-1.3,0.2,-0.8,0.1,-0.7,-0.9,0.5,-0.1,-0.1,0.5,-0.5,-0.1,0.1,-1.6,-0.5,0.8,0.3,0.3,0.3,-1.0,-,-0.5,-0.2,-0.1,-0.1,-0.2,0.0,-0.5,0.2,-0.7,-1.5,0.4,-0.6,0.8,0.0,0.0,0.5,0.3,1.7,1.0,-1.0,0.2,-0.1,0.0,-0.7,0.8,0.6,-,-,-,-,-,,1.67,,-1.58
Meta Knight,,-1.1,-0.6,-0.3,0.3,-0.8,-0.8,0.0,-0.8,0.3,-1.1,-0.8,-0.9,-0.2,0.0,-0.7,-0.4,-0.8,1.1,-0.1,-1.4,-0.5,-0.7,0.3,-0.7,-0.8,-1.5,-0.2,-0.9,0.0,-0.5,-1.1,-0.3,-0.4,0.6,0.1,-0.5,-0.9,0.0,-0.3,-0.8,-0.1,-0.4,-0.2,-0.7,0.3,0.6,0.3,0.5,0.0,0.4,-0.6,0.8,0.1,0.1,0.6,0.3,0.5,-,1.0,0.8,0.8,0.6,0.3,0.4,-0.3,1.3,0.0,-0.1,1.4,0.3,0.1,0.3,0.4,0.0,0.7,1.0,2.3,0.3,0.4,0.0,1.3,0.6,2.0,-,-,-,0.0,-1.0,,2.25,,-1.53
Jigglypuff,,-1.2,-1.3,-0.5,-0.3,-1.8,-1.0,-0.6,-0.8,-0.9,-0.3,-1.1,-0.9,-0.7,-0.7,-1.1,-0.8,-1.1,1.1,-1.0,-1.2,-1.2,-0.4,-0.4,-0.8,-0.9,-1.4,-0.9,-1.5,-0.8,-1.0,-0.8,-0.1,-0.5,-0.5,-0.8,-0.2,-0.8,-0.7,-0.4,-0.6,0.2,-0.7,0.3,-0.8,0.2,-0.6,-0.4,-0.2,-1.0,0.1,0.6,-0.5,-0.1,-0.4,0.4,-0.6,0.2,-1.0,-,-0.3,-0.3,-0.5,-0.7,-0.1,-1.0,0.6,-0.4,-0.3,0.8,0.2,0.0,-0.4,0.7,0.2,0.6,0.3,1.2,-0.9,0.1,0.1,0.1,0.8,1.3,0.2,0.4,0.3,-1.0,-1.0,,1.31,,-1.75
Pit,,-0.9,-0.9,-0.7,-0.2,-0.6,-0.8,-0.8,-0.6,-0.4,-0.8,-0.5,-0.7,-0.2,-0.3,-0.3,-0.5,-0.6,-0.4,-0.9,-1.2,-0.8,-0.7,-0.1,0.0,-0.5,-1.1,-0.2,0.4,0.0,-0.8,-1.3,0.2,-0.7,-0.3,0.0,0.3,-0.8,-0.2,0.2,0.1,-0.5,-0.2,-0.7,0.2,-0.3,-0.2,0.3,0.9,0.0,0.0,-0.3,0.3,0.3,0.0,-0.1,-0.1,0.1,-0.8,0.3,-,0.0,0.4,0.5,0.7,0.3,0.8,0.5,0.0,1.1,0.8,0.6,0.4,0.9,0.3,0.8,0.2,1.0,1.3,1.1,1.0,0.8,0.8,1.5,-,-,-,-1.0,-1.0,,1.48,,-1.33
Dark Pit,,-0.9,-0.9,-0.7,-0.2,-0.6,-0.8,-0.8,-0.7,-0.4,-0.8,-0.5,-0.7,-0.2,-0.3,-0.3,-0.4,-0.6,-0.4,-0.9,-1.2,-0.8,-0.7,-0.1,0.0,-0.5,-1.0,-0.2,0.4,0.0,-0.8,-1.4,0.2,-0.7,-0.3,0.0,0.3,-0.8,-0.2,0.0,0.1,-0.5,-0.2,-0.7,0.1,-0.1,-0.2,0.3,0.8,0.0,0.0,-0.3,0.3,0.3,0.0,-0.1,-0.1,0.1,-0.8,0.3,0.0,-,0.4,0.5,0.2,0.3,0.6,0.5,0.0,1.1,0.8,0.6,0.4,0.9,0.3,0.8,0.2,0.9,1.3,1.1,1.0,0.8,0.9,1.5,-,-,-,-1.0,-1.0,,1.48,,-1.36
Robin,,0.6,-1.3,-1.0,-0.9,-1.0,-0.8,-0.1,-1.1,-1.0,-1.4,0.0,-1.4,-0.8,-0.3,-0.8,-0.7,0.0,-1.0,-0.6,-0.7,-1.0,-0.8,-0.8,-0.9,-1.0,-1.5,-0.8,0.3,-0.3,-2.2,-1.4,-0.7,-0.2,0.1,0.2,0.1,-1.3,-0.9,-0.9,0.0,-0.6,-1.4,-0.3,0.5,-0.5,-0.3,-0.3,-0.2,-0.2,1.3,-0.6,0.1,0.5,0.0,0.8,1.5,0.2,-0.6,0.5,-0.4,-0.4,-,-0.7,1.2,0.4,-0.3,0.0,-0.5,1.4,-0.7,0.8,0.4,0.6,0.7,-0.1,-0.1,1.0,0.3,0.5,0.5,1.3,0.6,1.6,-2.0,2.0,2.0,1.0,-2.0,,2.00,,-2.18
Mewtwo,,-0.9,-0.6,-0.6,-0.4,-0.1,-0.8,-0.7,-0.7,-1.2,-0.6,0.1,-0.6,-0.6,-1.5,-0.7,-0.2,-0.5,-1.7,0.0,-1.3,-0.5,-0.8,0.7,-0.4,-0.9,-1.2,-0.7,-0.4,-0.3,-0.3,-1.1,-0.2,-0.5,0.3,0.1,-0.3,-1.0,-1.3,-0.1,-0.5,-1.0,-0.5,0.3,0.8,-0.5,-0.3,-0.6,-0.3,-1.9,-0.8,-0.2,0.4,-0.2,-0.5,0.8,0.0,0.0,-0.3,0.7,-0.5,-0.5,0.7,-,0.4,-0.8,-0.3,0.0,-0.4,-0.1,1.4,1.3,0.0,1.2,0.0,0.4,1.0,0.6,0.0,1.5,0.5,1.5,0.3,1.6,-,-,-,-,-,,1.56,,-1.88
Ridley,,-0.7,-0.7,-0.9,-1.5,-0.5,-0.4,-0.3,0.1,-1.6,-0.1,-0.7,-1.5,0.6,-0.9,-1.1,-0.5,-0.4,-0.4,-0.8,-1.6,0.3,-0.8,-1.5,-0.4,-1.8,-1.2,-1.4,-0.6,0.2,-0.3,-1.3,-0.3,-0.1,-1.3,-0.9,-0.3,-1.1,-0.6,-1.5,0.3,-1.3,-1.1,-0.5,-0.1,-0.6,0.3,0.3,0.6,-1.0,0.2,-0.8,-0.3,-1.0,-1.4,0.5,-0.5,0.5,-0.4,0.1,-0.7,-0.2,-1.2,-0.4,-,0.6,-1.1,-1.5,-1.4,0.2,-0.6,-1.2,-1.1,0.6,0.3,-0.7,0.9,-0.4,-0.1,-0.4,-1.5,-0.9,1.4,0.8,0.0,0.0,1.0,0.0,0.0,,1.35,,-1.76
